state,parent_state,to_move,layer,P(X wins),P(X wins) difference,P(O wins),P(O wins) difference,P(draws),P(draws) difference
OXX.OXO.X,OXX.O.O.X,O,7,1.0,0.5,0.0,-0.1666666667,0.0,-0.3333333333
OXX.O.OXX,OXX.O.O.X,O,7,0.0,-0.5,0.5,0.33333333330000003,0.5,0.16666666670000002
OXX.O.O.X,OXX.O...X,X,6,0.5,0.08333333329999998,0.1666666667,-0.0833333333,0.3333333333,0.0
OXXXO..OX,OXX.O..OX,O,7,0.5,-0.16666666669999997,0.0,0.0,0.5,0.16666666670000002
OXX.OX.OX,OXX.O..OX,O,7,1.0,0.33333333330000003,0.0,0.0,0.0,-0.3333333333
OXX.O.XOX,OXX.O..OX,O,7,0.5,-0.16666666669999997,0.0,0.0,0.5,0.16666666670000002
OXX.O..OX,OXX.O...X,X,6,0.6666666667,0.24999999999999994,0.0,-0.25,0.3333333333,0.0
OXX.O...X,OX..O...X,O,5,0.4166666667,-0.04999999999999999,0.25,0.0166666667,0.3333333333,0.03333333329999999
OX.XOOXOX,OX.XOOX.X,X,8,0.0,-0.5,0.0,0.0,1.0,0.5
OX.XOOX.X,OX.XOO..X,O,7,0.5,0.16666666670000002,0.0,0.0,0.5,-0.16666666669999997
OX.XOOOXX,OX.XOO.XX,X,8,0.0,-0.5,0.0,0.0,1.0,0.5
OX.XOO.XX,OX.XOO..X,O,7,0.5,0.16666666670000002,0.0,0.0,0.5,-0.16666666669999997
OX.XOO..X,OX.XO...X,X,6,0.3333333333,0.0,0.0,-0.1666666667,0.6666666667,0.16666666669999997
OX.XOXOOX,OX.XOXO.X,X,8,1.0,0.5,0.0,-0.5,0.0,0.0
OX.XOXO.X,OX.XO.O.X,O,7,0.5,0.16666666670000002,0.5,0.16666666670000002,0.0,-0.3333333333
OX.XO.OXX,OX.XO.O.X,O,7,0.0,-0.3333333333,0.5,0.16666666670000002,0.5,0.16666666670000002
OX.XO.O.X,OX.XO...X,X,6,0.3333333333,0.0,0.3333333333,0.16666666659999999,0.3333333333,-0.16666666670000002
OX.XOX.OX,OX.XO..OX,O,7,0.5,0.16666666670000002,0.0,0.0,0.5,-0.16666666669999997
OX.XO.XOX,OX.XO..OX,O,7,0.0,-0.3333333333,0.0,0.0,1.0,0.33333333330000003
OX.XO..OX,OX.XO...X,X,6,0.3333333333,0.0,0.0,-0.1666666667,0.6666666667,0.16666666669999997
OX.XO...X,OX..O...X,O,5,0.3333333333,-0.13333333340000003,0.1666666667,-0.06666666660000001,0.5,0.2
OX..OXOXX,OX..OXO.X,O,7,0.0,-0.5,1.0,0.5,0.0,0.0
OX..OXO.X,OX..OX..X,X,6,0.5,-0.08333333330000003,0.5,0.25,0.0,-0.1666666667
OX..OXXOX,OX..OX.OX,O,7,0.5,-0.16666666669999997,0.0,0.0,0.5,0.16666666670000002
OX..OX.OX,OX..OX..X,X,6,0.6666666667,0.08333333339999993,0.0,-0.25,0.3333333333,0.16666666659999999
OX..OX..X,OX..O...X,O,5,0.5833333333,0.11666666660000002,0.25,0.0166666667,0.1666666667,-0.1333333333
OX..OOXXX,OX..OOX.X,O,7,1.0,0.5,0.0,-0.1666666667,0.0,-0.3333333333
OX..OOX.X,OX..O.X.X,X,6,0.5,-0.08333333330000003,0.1666666667,0.08333333339999999,0.3333333333,0.0
OX..O.XOX,OX..O.X.X,X,6,0.3333333333,-0.25000000000000006,0.0,-0.0833333333,0.6666666667,0.3333333334
OX..O.X.X,OX..O...X,O,5,0.5833333333,0.11666666660000002,0.0833333333,-0.15,0.3333333333,0.03333333329999999
OX..OO.XX,OX..O..XX,X,6,0.5,0.08333333329999998,0.1666666667,-0.25,0.3333333333,0.16666666659999999
OX..O.OXX,OX..O..XX,X,6,0.0,-0.4166666667,0.6666666667,0.24999999999999994,0.3333333333,0.16666666659999999
OX..O..XX,OX..O...X,O,5,0.4166666667,-0.04999999999999999,0.4166666667,0.18333333340000002,0.1666666667,-0.1333333333
OX..O...X,OX......X,X,4,0.4666666667,0.005555555599999984,0.2333333333,-0.005555555600000012,0.3,0.0
OXXXXOOOX,OXXX.OOOX,O,9,0.0,0.0,0.0,0.0,1.0,0.0
OXXX.OOOX,OXXX.OO.X,X,8,0.0,0.0,0.0,0.0,1.0,0.0
